DIC, DIC2D, DIC2D, DIC2D, DIC2D, DIC2D, DIC2D, DIC2D, DIC2D, Log(Force 1), Log(Force 2), Log(Force 3), Log(Force 4), Log(Displacement 1), Log(Displacement 2), Log(Displacement 3), Log(Displacement 4), 
Frame Id, Location u [pix], Location u [pix], Location u [pix], Location u [pix], Location v [pix], Location v [pix], Location v [pix], Location v [pix], Force 1, Force 2, Force 3, Force 4, Displacement 1, Displacement 2, Displacement 3, Displacement 4, 
, s0, s1, s2, s3, s0, s1, s2, s3, N, N, N, N, mm, mm, mm, mm, 
 ,,,,,,,,,,,,,,,,,
90,1564.296549,1562.236219,1414.303694,1404.494183,1300.518317,1487.653238,1453.34364,1295.895703,0.10883,0.03155,0.01346,0.05292,0.68078,0.74326,0.66796,0.74425, 
91,1564.369649,1562.442221,1414.395817,1404.446926,1300.739284,1487.86826,1453.34797,1296.00411,0.11212,0.02661,0.01182,0.0595,0.689,0.74754,0.67684,0.75477, 
92,1564.610776,1562.521257,1414.750086,1404.753999,1300.990313,1488.059616,1453.669827,1296.213317,0.11047,0.02826,0.01182,0.0595,0.68933,0.75214,0.67749,0.75938, 
93,1564.436382,1562.545351,1414.603304,1404.592492,1300.967965,1488.281978,1453.757904,1296.370402,0.10718,0.02826,0.01675,0.05621,0.70578,0.76661,0.69196,0.76924, 
94,1564.739014,1562.880601,1414.668976,1404.704158,1301.235017,1488.777349,1453.98265,1296.581757,0.11212,0.03155,0.01346,0.05292,0.71597,0.77615,0.70512,0.78766, 
95,1564.698321,1562.606483,1414.596968,1404.842481,1301.22737,1488.68093,1453.911938,1296.266572,0.11705,0.02661,0.01346,0.0595,0.71663,0.78141,0.70709,0.78898, 
96,1564.942431,1562.919762,1414.935098,1405.764027,1301.477584,1489.037072,1454.10981,1294.17687,0.11376,0.02826,0.01182,0.05785,0.72682,0.78898,0.71663,0.80246, 
97,1565.26662,1563.39689,1415.446871,1405.354838,1301.627192,1489.194571,1454.107817,1292.484182,0.11705,0.02661,0.01346,0.05785,0.73077,0.79391,0.72025,0.80575, 
98,1564.971854,1563.000179,1415.426389,1402.988436,1301.779118,1489.398886,1454.255743,1292.653823,0.11047,0.02661,0.01346,0.05785,0.74261,0.80871,0.7311,0.8166, 
99,1565.501274,1563.315153,1415.659742,1402.322957,1302.046824,1489.750161,1454.411332,1293.876908,0.11212,0.02661,0.01017,0.05785,0.75642,0.82318,0.74458,0.82877, 
100,1565.594429,1563.65093,1415.900772,1402.535599,1302.383633,1489.901515,1454.756982,1295.277102,0.11212,0.02826,0.01346,0.05621,0.7551,0.82252,0.74491,0.83469, 
101,1565.728102,1563.758233,1417.791943,1404.088206,1302.798333,1490.246101,1455.86731,1296.830038,0.11376,0.02661,0.01675,0.05621,0.77023,0.83633,0.75905,0.84521, 
102,1566.034567,1563.999647,1419.14576,1405.688014,1303.072631,1490.734962,1456.287617,1298.011939,0.10718,0.03155,0.01182,0.0595,0.78404,0.85244,0.76793,0.85179, 
